unit_order,unit_id,unit_title,A4095,A4095-Mc-English,CCCP578,CCCP578-Mc-English,P3465,P3465-Mc-English,P3466,P3466-Mc-English,P400,P400-Mc-English,R2536,R2536-Mc-English
21,65d548ad-2527-4090-af4a-af93b61c4a31,The Rat Decides on a Pact with the Cat,ثمّ قال لا أرى حيلة أمثل من التماس صلح السنّور فإنّ السنّور قد نزل به بلاء ولعلّي أقدر على صلاحه ولعلّه لو قد سمع منّي ما أكلّمه به من الكلام الصحيح الذي لا خداع فيه أن يفهم عنّي ويطمع في معونتي ويستلين لذلك بصلحي ولعلّي يكون له ولي في ذلك نجاة,"Then he said, ‘I see no better strategy than to seek reconciliation with the cat, for the cat has been beset by trouble, and I might be able to bring about his well-fare. Perhaps, if he listens to what I’m going to address him with-words that are genuine and without deceit-he would understand me, would desire my help,and would be reassured to reconcile with me. Perhaps, this will hold, for me and him, the rescue.’”",ولا حيلة أمثل من التماسي صلح السنّور فإنّه قد نزل به قادح ولعلّي أقدر على تخليصه ولو قد سمع ما أنا قائل له من الكلام الصحيح الذي لا خداع فيه لفهمه عنّي وطمع في [[مودّتي]] معونتي ولعلّه يكون لي وله في ذلك نجاة,"I see no better strategy than for me to seek reconciliation with the cat, for he has been beset by a harmful affair, and I might be able set him free. If he listens to what I’m going to say to him, in words that are genuine and without deceit, he would understand me and would desire my amity my help, and this could be, for me and him, the rescue.’",ولست أرى لي من هذا البلاء مخرجًا إلّا مصالحة السنّور فإنّه قد نزل به من البلاء مثل ما قد نزل بي أو بعضه ولعلّه إن سمع كلامي الذي أكلّمه به ووعي عنّي فصيح خطابي ومحض صدقي الذي لا خلاف فيه ولا خداع معه فهمه وطمع في معونتي إيّاه فنتخلّص جميعًا,"I see no way out for me from this trouble except reconciliation with the cat, for he has been beset by the same trouble that has beset me-or part thereof. Perhaps, if he listens to my words, which I shall address him with, and heed my eloquent address and pure sincerity, about which there is no disagreement and with which comes no deceit, he will understand it and desiremy help to him, thus delivering us together.’”",ثمّ قال لا أرى في حيلة أفضل من التماس صلح السنّور فإنّ السنّور قد نزل به من البلاء ما لا يستطيع أحد أن يخلّصه غيري ولعلّه لو قد [[قد]] سمع منّي ما أكلّمه به من الكلام الصادق الذي لا خداع فيه أن يفهم عنّي ويطمع في معونتي فيصالحني لنفع نفسه فيكون لي وله في ذلك خلاص,"“Then he said, ‘I see no more excellent strategy than to seek reconciliation with the cat, for the cat has been beset by the kind of trouble that no one can rid him of], except me. Perhaps, if he listens to what I’m going to address him with-truthful words that bear no deceit-he would understand me and would desire my help, reconciling with me for his own benefit, wherewith bringing], for me and him, salvation.’”",ولا أرى حيلة أحسن من التماس صلح السنّور فإنّه قد نزل به فادح ولعلّي عنّي وطمع في معيشتي ولعلّه يكون في ذلك لي وله نجاة,"I see no better strategy than to seek reconciliation with the cat, for he has been beset by a grave burden. I could … me, and he would desire my remaining alive, and in that could lie my and his rescue.’",أمره ثمّ قال لا أرى حيلة أبلغ من التماس صلح السنّور فإنّه قد أصابه من الشرّ ما لا يستطيع أحد أن يخلّصه منه غيري فلعلّه يصالحني لنفع نفسه فأتخلّص به أيضًا من هذا !الشرف الذي أنا مشرف عليه,"He then said: “I see no strategy more effective than to seek reconciliation with the cat, for he has been beset by the kind of evil of which no one can rid him, except me. He might, therefore, enter into an agreement with me to benefit himself, so that I too escape from this evil I am verging upon.”"
22,b62e8a87-9c68-40f2-81f5-b44a4ecdf321,The Rat Comes Up to the Cat,ثمّ دنا منه فقال كيف حالك,"“He approached him and said, ‘How are you?’",ثمّ إنّ الجرذ دنا من السنّور فقال له كيف,"“And so the rat approached the cat and said,",ثمّ أنّ الجرذ دنا من السنّور فقال له كيف حالك,"“And so the rat approached the cat and said, ‘How are you?’",,,ثمّ دنا منه فقال له كيف حالك,"He approached him and said, ‘How are you?’",ثمّ دنا من السنّور فقال له كيف حالك,"He approached the cat and said to him, ‘How are you?’"
23,a66a2ffc-f6d7-44a8-83fa-dfa57a44956b,The Cat Acknowledges Being Trapped ,فأجابه السنّور كالذي تهوى في الضنك والضيق,"The cat answered, ‘As you would fancy-in dire straits.’",حالك فقال كالذي ترى وتهوى في الضيق والضنك,"‘How are you?’ The cat said, ‘As you can see and would fancy-in dire straits.’",قال كما تحبّ في ضنك وضيق,"‘As you would like,’ he said, ‘in dire straits!’ ‘And today,",أفضل من التماس صلح السنّور فإنّ السنّور قد نزل به,"“So he said to him, ‘How are you?’ He said, ‘As you would fancy - in dire straits!’",قال له السنّور كالذي تهوى في الضيق والضنك,"The cat said, ‘As you would fancy-in dire straight .’",فقال كالذي تهواه من الضنك والضيق فما مساءلتك إيّاي,"He said, ‘As you would fancy-in dire straits. Why do you ask?’"
24,d49ef126-c512-4c85-b2e4-8a8fd4f565f7,The Rat Resolves to Be Sincere,,‘I,,,,,,,,,,
25,cd7fe811-83d4-46ba-94f5-5ca14991330c,The Rat Points Out Their Common Problem,قال الجرذ لا تكذيب لك لعمري لقد كان يسرّني ما ساءك وأرى ما ضُيّق عليك لي سعة ولكنّي اليوم قد شاركتك في البلاء فلا أرجو لنفسي خلاصًا إلّا بالأمر الذي أرجو لك به الخلاص فذلك الذي عطّفني عليك,"wouldn’t accuse you of lying,’ said the rat, ‘for I swear that I used to find delight in everything that used to sadden you, and I used to view that which constrained you as comforting to me. Today, however, I have joined you in trouble, and I can only hope to be delivered through hoping that the same thing will deliver you; it is this that has made me feel compassion toward you.",فقال الجرد لا كدت لعمري لقد كنت وأنا يسرّني ذلك وكلّما يسوءك وأرى ما ضيّق عليك لي سعة ولكن قد شاركتك في البلاء فلست أرجو لنفسي خلاصًا إلّا بالذي أرجو لك به فقد عطفني لك عليك,"‘I wouldn’t dupe you,’ said the rat, ‘for I swear that I used to find delight in that and everything that used to sadden you, and I used to view that which constrained you as comforting to me. However, I have now joined you in trouble, and I can only hope to be delivered through hoping the same for you, for this has made me feel compassion toward you.",قال وأنا اليوم شريكك في البلاء ولست أرجو لنفسي خلاصًا إلّا بالذي أرجو لك من الخلاص وكلامي هذا ليس فيه كذب ولا خديعة,"I’m your partner in trouble,’ he said. ‘I can only hope to be delivered through hoping that you similarly be delivered. These words of mine contain no lie or deceitfulness.",قال الجرذ {إنّي أحدّثك حديثًا} لا أكذب فيه لعمري قد كنت أوّلًا يسرّني ما ساءك وأرى ما ضيّق عليك لي سعة ولكنّي اليوم قد شاركتك في البلاء وقد نزل بي من الضنك ما لا يسرّنى به موتك فأنا شريكك ولست أرجو خلاصًا إلاّ بالذى أرجو لك فيه الخلاص فذلك هو الذي عطّفنى عليك وأنت أيضًا فليس أحد أقدر على معونتك وتخليصك من هذه الورطة منّي,"The Rat said: ‘{I shall tell you something in which I will not lie: I swear that before I found delight in everything that saddened you, and I viewed that which constrained you as comforting to me. Today, however, I have joined you in trouble and have been so beset by dire straits that your death cannot delight me-I am your partner in misfortune], and I can only hope to be delivered through hoping that you be delivered, too]; it is this that has made me feel compassion toward you. You, too: no one is more capable of helping you get out of this plight than I am.",قال الجرذ لعمري لقد كان يسوءني ما يسرّك ولربّما كنت أحبّ يضيق عليك أمرك ويقرب منك أجلك ولكنّه قد نزل بي من الشرّ ما لا يسرّني معه ضيق مكانك ولا موتك وأنت أيضًا ليس أحد أقدر على تخليصك من هذا المكان منّي,"‘I swear,’ said the rat, ‘that which delighted you used to sadden me, and I might have liked for your conditions to be dire and for your end to be near. However, I have been so beset by evils that neither the precariousness of your situation nor your death can delight me. You, too: no one is more capable of getting you out of this situation than I am.",قال الجرذ لا أكذب فإنّ الكذب مكروه عند العلماء وربّما كنت أحبّ أن يضيق عليك أمرك ويقرب منك أجلك ولكنّي قد نزل بي من الشرّ ما لا يسرّني أن يضيق مكانك ولا موتك وليس أحد أقدر منّي على خلاصك,"‘I will not lie,’ said the rat, ‘for lying is abhorred by the men of knowledge"
26,919f8eba-f500-4648-bdbe-353e25737b67,The Rat Proves His Sincerity,وستعرف في مقالتي أن ليس فيها ريب ولا مخادعة فإنّه قد ترى مكان ابن عرس كامنًا لي والبومة تريد اختطافي وكلّهم لي ولك عدوّ وهما يخافانك ويهابانك فإن أنت جعلت لي أن تؤمّنّي إن أنا دنوت منك فأنجو بذلك منهم فإنّي مخلّصك ممّا أنت فيه فاطمئنّ إلى ما ذكرت وثق بي,"You will know that my words bear neither doubt nor deceit, for you can see the mongoose lying in ambush for me, and the owl wants to snatch me, and both, to me and you, are enemies. They, however, fear and respect you. So, if you provide to secure me as I approach you, thus saving me from them, I will deliver you from what you are in. Be reassured as to what I have mentioned and trust me.",وستعرف مقالتي أنّها ليست بزور ولا خِلابة ولا خديعة فإنّك ترى مكان ابن عرس كامنًا لي والبومة تريد اختطافي وكلاهما لي ولك عدوّ وهما يخافانك ويتّقيانك فإن جعلت لي أن تؤمّنّي إذا دنوت منك فأنجو منها بك وأقطع حبالك ثمّ أخلّصك ممّا كنت أنت فيه فعلت,"You will know that my words are neither false nor scheming or deceitful, for you can see where the mongoose is lying in ambush for me, and the owl wants to snatch me, and both, to you and me, are enemies. They, however, fear and avoid you. So, if you provide to secure me as I approach you-thus saving myself from them-to cut your bonds and deliver you from what you are in, I would do so.",وابن عرس ها هو كامن لي والبوم يرصدني وكلاهما لي ولك عدوّ فإن أنت جعلت لي الأمان قطعت حبائلك وخلّصتك من هذه الورطة فإذا كان ذلك تخلّص كلّ واحد منّا بسبب صاحبه,"The mongoose, here, is lying in ambush for me, and the owl is watching me, and both, to you and me, are enemies. So if you provide me with safety, I shall cut your bonds and deliver you from this trouble. If that happens, either one shall be delivered by the other- as with",وستعرف صدق مقالتي وأنّه ليس فيها كذب ولا مخادعة قد ترى مكان ابن عرس كامنًا لي ومكان البومه تريد اختطافي وكلاهما لي عدوّ وهما يخافاك ويتّقيانك فإن أنت أمّنتني وعاهدتني ألّا تقتلني دنوت منك وقطعت حبالك وخلّصتك ممّا أنت فيه ونجوت بذلك فاطمئنّ إلى ما ذكرت وثق به منّي,"You will know the truth of my words and that they bear no lie or deceit. You can see where the mongoose is, lying in ambush for me, and where the owl is, wanting to snatch me, and both are my enemies. They, however, fear and avoid you. If you safeguard me and vow not to kill me, I shall approach you and cut your cords, delivering you from that in which you are and saving myself in the act. Be reassured as to what I have mentioned, and trust me through it.",وإنّما على †ىعرف †حدر من ابن عرس والبومة فإنّما يرصداني وأنا ضعيف لا أطيق دفعهما فإن أنت أمّنتني من نفسك وضنت لي الخلاص من غيرك مّمن قد اكتنفني ورصدني أنقذتك ممّا أنت فيه وخلّصتك من وثاقك فاغتنم ذلك,"I am weary of the weasel and the owl: they are watching me, and I am weak, incapable of fending them off. If you guarantee me restraint on your part and ensure deliverance from the others that have besieged and are watching me, I will save you from that in which you are and deliver you from your bonds. Seize on that, then,",وأنا حذر من ابن عرس والبومة فإنّهما يرصداني وأنا ضعيف لا أقدر على دفعهما فإن أنت آمنتني من نفسك وضمنت لي الخلاص من غيرك قد أخافني وأرصدني أنقذتك ممّا أنت فيه وخلّصتك من وثاقك فانتهز ذلك وعاونّي على خلاصك وخلاص نفسي,"situation. I am weary of the mongoose and the owl: they are watching me, and I am weak and cannot fend them off. If you guarantee me restraint on your part and ensure deliverance from the others who scare me and are watching me, I will save you from that in which you are and deliver you from your bonds. Seize on that, and help me deliver you and myself;"
27,e5413dbc-0717-4980-a6ac-a3288a02785a,People Fail without Mutual Trust,فإنّه ليس أحد أبعد من الخير من اثنين منزلتهما واحدة وصفتهما مختلفة أحدهما من لا يثق بأحد والآخر من لا يثق به أحد,"For no one is farther from the good than two whose situation is the same and their quality is different: one, is he who trusts no one; and the other, is he whom no one trusts.",فإنّه ليس أحد أبعد من الخير من اثنين منزلتهما واحدة وصفتهما مختلفة وأحدهما لا يثق والآخر لا يُوثق به,"No one is farther from the good than two whose situation is the same, their quality is different, and one is distrustful and the other cannot be trusted.",,,فإنّه ليس أحد أبعد من الخير من اثنين منزلتهما واحدة وصفتهما مختلفة أحدهما من لا يثق بأحد والآخر من لا يثق به أحد,"For no one is farther from the good than two whose situation is the same and their quality is different: one, is he who trusts no one; and the other, is he whom no one trusts.",,,,
28,8e5140d3-e06e-49fa-ab7f-88ca274049d1,The Rat Promises Faithfulness,ولك عندي الوفاء بما جعلت لك من نفسي فاقبل منّي واسترسل إليّ وعجّل ذلك ولا تؤخّر,I will fulfill to you the commitment I pledged on my behalf. So do accept my proposal and be open to me-make haste in that and don’t delay,ولك عندي الوفاء بما جعلت لك على نفسي فاقبل مني واسترسل إلىّ وعجّل ذلك,"I will fulfill my commitment to you. So do accept my proposal and be open to me; and make haste in that, for the sensible",,,ولك عندي الوفاء بما جعلت لك من نفسي فاقبل ذلك منّي واسترسل إليّ ولا تؤخّر الأمر ما استطعت,I will fulfill to you the commitment I pledged on my behalf. So do accept this from me and be open to me. Don’t delay the matter while you can,,,,
29,9df23ced-7abd-4df3-9b2d-f5e089acd64f,The Intelligent Does Not Postpone Action,فإنّ العاقل لا يؤخّر عمله,For the sensible man does not postpone his action. And let yourself,فإنّ العاقل لا يؤخّر عمله,man does not postpone his action.,,,فإنّ العاقل لا يؤخّر عمله في حينه,The sensible man does not postpone his action beyond its time.,,,,
30,eb4a0dd4-9931-4bf4-9776-57190cbc3d2e,The Cat Should Desire Common Rescue,ولتطب نفسك ببقائي كما طابت نفسي ببقائك,"be pleased by my survival as I will be pleased by yours,",ولتطب نفسك ببقائي كما طابت نفسي ببقائك,"And let yourself be pleased by my survival as I will be pleased by yours,",,,فلتطِبْ نفسك ببقائي كما طابت نفسي ببقائك فإنّ كلّ واحد منّا إنّما ينجو بصاحبه,"And let yourself be pleased by my survival as I will be pleased by yours, for either one of us shall indeed be saved by the other- as with",وعاونّي في خلاصك وخلاص نفسي فإنّي كما أحببت بحياتي حياتك فكذلك أنت حقيق أن تحبّ بحياتك حياتي وخلاص نفسي,"and help me deliver you and myself, for as I desire my survival",فإنّه كما أحببت بحياتي حياتك فلذلك أنت أيضًا حقيق أن تحبّ بحياتي حياتك وخلاصي وخلاص نفسك,"for as I desire my survival to be bound to your survival, you, too, should desire my survival to be bound to your survival and desire deliverance for me and yourself."
31,bdd68c89-7a27-4565-99fa-daffa41b9795,Sailors Depend on Ships and Vice Versa,فإنّ كلّ واحد منّا ينجو بصاحبه كالسفينة والركّاب في البحر فبالسفينة تخرج الركّاب وبالركّاب تخرج السفينة,"for each one of us will be saved by the other, as with a ship and its passengers at sea: it is by the ship that the passengers are delivered, and it is by the passengers that the ship is delivered.",فإنّ كلّ واحد منّا ينجو بصاحبه كالسفينة والركّاب يتخلّص بها أهلها ثمّ تخرج بهم فيتخلّص,"for each one of us will be saved by the other, as with a ship and its passengers-they are delivered by the ship, which in turn emerges from the sea and is delivered by them.",كالسفينة والركّاب في البحر فبالسفينة ينجون وبهم تنجو السفينة,a ship and its passengers at sea: by the ship they are delivered and by them the ship is delivered.’”,كالسفينة في البحر إنّما تنجو بالركّاب وبالسفينة ينجو الركّاب,a ship at sea: it survives with the help of the passengers and the passengers survive with the help of the ship.,وكما أنّ نجاة الناس من البحر بالسفن,"As people survive the sea with ships,",كما أنّ نجاة الناس من البحر بالسفينة ونجاة السفينة بالناس,"As people survive the sea with a ship, and the ship survives with the people;"
32,e3559fe0-79b6-4654-a7c6-9d159b842425,Cooperation Ensures Delivery for Both,,,,,,,كذلك أيضًا بالتعاون منّي ومنك نرجو الخلاص من هذه البليّة,"So, through cooperating-you and I-can we hope for survival from this trouble.’”",فكذلك نرجو أن نصير بالتعاون إلى الخلاص جميعًا من هذه البليّة,"so I hope that we arrive, through cooperation, at survival for us both from this trouble.’ “",فلذلك نرجو أن نصير بالتعاون إلى الخلاص جميعًا من هذه البليّة,"therefore, I hope that we arrive, through cooperation, at survival for us both from this trouble.’"
33,745a4a65-ddd4-4b9d-aa60-08523f7ffa73,Everything Happens According to Fate,,,,,,,,,,,,
34,514bcba7-8746-4c01-9b13-98be4bd3dc2a,The Cat Puts His Trust in the Rat,فلمّا سمع السنّور بمقالة *الجرذ سُرّ بها وعرف أنّه صادق فقال للجرذ أرى قولك شبيهًا بالحقّ والصدق فأنا راغب في هذا الصلح الذي أرجو لنفسي ولك فيه الخلاص ثمّ لأشكر لك ذلك ما بقيت *وأجازيك به أحسن الجزاء,"“When the cat heard the talk by the rat, he was delighted by it and knew that he was truthful and said to the rat, ‘I see that your words are akin to truth and sincerity. I am desirous of this truce, in which for myself and you, I hope, will be deliverance. I will then thank you for it, as long as I live, and grant you for it the best reward.",فلمّا سمع السنّور مقالته سرّه وعرف أنّه صادق فيها فقال له أرى قولك شبِهًا بالحقّ وأنا أرغب في هذا الصلح الذي أرجو لي ولك فيه البقاء ثمّ سأشكرك وأجازيك بأحسن الجزاء وأنت مشكور وأكون أنا في ذلك مأمون العاقبة من جانبك لا خائف منك ولا مذعور,"“When the cat heard his talk, he was delighted and knew that the rat was truthful in it and said, ‘I see that your words are akin to the truth, and I desire this truce, in which for you and me, I hope, will be survival. I will then be grateful and grant you the best reward. You are to be thanked, and with that, I will be safe in the end due to you-I will neither fear you nor panic.’”",فلمّا عرف السنّور مقالة الجرذ عرف أنّه صادق فقال له إنّ قولك هذا لشبيه بالحقّ وأنا أيضًا راغب فيما أرجو لك ولنفسي به الخلاص ثمّ أنّك إن فعلت ذلك سأشكرك ما بقيت,"“When the cat comprehended the talk by the rat, he knew that he was truthful and said to him, ‘Your words are, indeed, akin to the truth. I, too, am desirous of this truce, in which for you and for myself, I hope, will be deliverance. And if you do this, I will thank you as long as I live.",فلمّا سمع السنّور كلام الجرذ عرف أنّه صادق فسرّه ذلك ووثق بقوله وقال للجرد أرى قولك هذَا شبيهًا بالحقّ والصدق فأنا قابل هذا الصلح الذي أرجو لنفسي ولك به الخلاص ثم سأشكر لك ذلك ما بقيت وأجازيك أحسن الجزاء فتعاقدا على ذلك,"“When the cat heard the rat’s speech, he knew that he was truthful; so he got delighted by them, believing his words, and said to the rat, ‘I see that these words of yours are akin to truth and sincerity I accept this truce, in which for myself and you, I hope, will be deliverance.",فلمّا سمع السنّور ذلك من الجرذ علم أنّه قد صدق وقال له صدقت وقلت الحقّ فأنظر الصلح الذي نتخلّص به جميعًا من هذه البليّة فأفعله فإنّي أحفظ لك هذه النعمة آخر الأبد وأحرص على جزائك ومكافأتك,"When the cat heard this from the rat, he knew that he was truthful and said, ‘You are correct and have spoken the truth. See to the arrangement by which we can be rid of this trouble, and I will act on it. I will remember this favor forever and will ensure that I properly reward you.’",فلمّا سمع السنّور ذلك من الجرذ علم أنّه قد صدق وقال له صدقت وقلت الحقّ فأنظر إلى الصلح الذي نتخلّص به جميعًا من هذه البليّة فأفعله فإنّي أحفظ لك هذه النعمة آخر الأبد وأحرص على مجازاتك ومكافأتك بها,"“When the cat heard this from the rat, he knew that he was truthful and said, ‘You are correct and have spoken the truth. See to the arrangement by which we can both be rid of this trouble, and I will act on it. I will remember this favor forever and, I will ensure that I properly reward you for it.’"
35,4287443c-22f5-4237-91e7-10f5ae631db4,The Rat Explains the Strategy,قال الجرذ فإذا دنوت منك فلتُر ابن عرس والبومة ما يعرفان به صلحنا فينصرفان آيسين وأقبل أنا على قرض الحبال,"“The rat said, ‘When I approach you, show the mongoose and the owl that by which they will learn of our truce, making them leave, having given up on us, and I will proceed to gnaw at the ropes.",قال فلمّا تكلّم السنّور بهذا الكلام إلى آخره التفت إليه الجرد وقال له فأنا إذا دنوت منك !فلتروني ابن عرس والبومة فيعرفان عند ذلك صلحنا فيرجعان عنّا آيسين منّا فقال الجرد صدقت في ذلك,"“When the cat reached the end of his speech,” he continued, “the rat turned to him and said, ‘When I approach you, the mongoose and the owl should see us, so they will know of our truce, and withdraw, giving up on us.’ ‘You have spoken truthfully,’ the rat said.” “When",,,ثمّ قال الجرذ للسنّور إذا أنا دنوت منك فأري ابن عرس والبومة منك ما يعرفان به صلحنا فينصرفان آيسين ثمّ أقبل أنا على قطع حبائلك وأنا آمن,"“The rat then said to the cat, ‘When I do approach you, show the mongoose and the owl that by which they will learn of our truce, making them leave, having given up on us; then I can proceed to cut the ropes while feeling secure.’",قال الجرذ دعني أدنو منك فإنّ البومة وابن عرس إذا أبصرانا مصطلحين انصرفا عنّا فإذا أمنت منهما قطعت وثاقك وأنا آمن,"‘Allow me to approach to you,’ said the rat, ‘for if the owl and the weasel see us in agreement, they will leave us, and when I am in safety from them, I will cut your bonds while feeling secure.’ “ The cat did so, ensuring his safety, and the rat approached him.",قال الجرذ دعني أدنو منك فإنّ البومة وابن عرس إذا أبصرانا مصطحبين انصرفا عنّا فإذا أمِنت منهما قطعت وثاقك وأنا آمن,"‘Allow me to approach to you,’ said the rat, ‘for if the owl and the mongoose see us in company, they will leave us, and when I am in safety from them, I will cut your bonds while feeling secure.’"
36,342d242d-98c3-4db1-86ec-39190134670c,The Rat Explains the Detail of the Last Rope,,,,,قال الجرذ فإنّي سأدنو منك فأقطع الحبائل كلّها إلّا حبلًا واحدًا أبقيه لأستوثق لنفسي منك,"The rat said: I shall approach you and cut all your cords, except for one cord, which I shall keep to secure myself against you.’”",,,,,,
37,cc8ab2db-90a1-4e12-9594-9b5f54ff0fd1,The Cat Accepts the Pact,,,,,,,,,,,,
38,21c63eae-be9e-4444-a744-8d4bb6ff6aa7,The Cat Fulfills His Part,فلمّا دنا الجرذ من السنّور أخذه فالتزمه,"“When the rat approached the cat, he took him and held him close.",فلمّا قرب الجرد إلى السنّور يريد أن يفعل ما أمره السنّور,"the rat approached the cat, intending to do what the cat had ordered",,,فلّما دنا الجرذ من السنّور أخذه السنّور فالتزمه ورحّب به وصافحه,"“When the rat approached the cat, the cat took him and held him close, greeting him and shaking his hand.",ففعل ذلك به السنّور وأمّنه ودنا منه,"The cat did so, ensuring his safety, and the rat approached him.",ففعل ذلك السنّور وآمنه ودنا منه,"“The cat did so, ensuring his safety, and the rat approached him."
39,d6650bc0-5f17-4f98-9464-694f770af661,The Foes Leave Frustrated,فلمّا رأت البومة وابن عرس ذلك انصرفا خائبين,"When the owl and the mongoose saw that, they left disappointed,",ورأوه البومة وابن عرس انصرفا خائبين,"and the owl and the mongoose saw him, they left disappointed.",ثمّ أنّ البوم وابن عرس لمّا رأيا دنوّ الجرذ من السنّور أيسا منه وانصرفا,"“He then took to gnawing at his cords. When the owl and the mongoose saw the rat approach the cat, they gave up on catching him and left. But the",فلمّا رأى ابن عرس ذلك والبومة انصرفا آيسين الجرذ [[وانصرفا]] {ورجعا} خائبين,"When the mongoose saw that- and the owl too-they left having given up on the rat, retreating disappointed,",فلمّا أبصر ذلك ابن عرس والبومة انصرفا من ذلك المكان,"“When the mongoose and the owl saw that, they left the place,",فلمّا أبصر ذلك البومة وابن عرس انصرفا من ذلك المكان,"“When the owl and the mongoose saw that, they left the place,"
40,25ba6992-3417-41bd-8f13-b6030fb20e50,The Rat Approaches to Cut the Rope,وأخذ الجرذ في قطع حبائل السنّور,and the rat took to gnawing at the cat’s cords.,قال فدنا منه الجرد وأخذ في تقريض رباط السنّور,"” He said: “The rat approached him and took to gnawing at the cat’s ties,",,,,,,,وأخذ الجرذ في قطع الشرك فجعل يقطع سلكًا سلكًا,"and the rat took to cutting the net, one cord at a time."
41,1c0b33ac-c52c-466c-a48c-0b0fcb298523,The Rat Begins to Cut the Rope,,But,,,ثمّ أخذ في تقريض حبائله,then took to gnawing at his cords.,وأخذ الجرذ في قطع رباط السنّور فجعل يقطعه قليلًا قليلًا,and the rat took to cutting the cat’s bonds; he cut them little by little.”,وأخذ الجرذ في قطع الشرك فجعل يقطعه سلكًا سلكًا,"and the rat took to cutting the net, one cord at a time. “",,
42,8c2b46dd-8c53-4b7d-b6ca-1ff4d049f92e,The Cat Deems the Rat's Efforts Slow,فاستبطأه السنّور وقال للجرذ ما أراك جادًّا في قطع رباطي فإن كنت حين ظفرت بحاجتك تبدّلت عمّا كنت عليه وتوانيت في حاجتي,"the cat found him slow and said, ‘I don’t see that you are serious in cutting my bond If, having attained your want, you have changed from your earlier commitment and tarried in fulfilling my need,",فاستبطأه السنّور وقال له ما أراك جادًّا فإن كنت قد ظفرت بحاجتك فتحوّلت عمّا كنت عليه وتوانيت في هذا الأمر,"but the cat found him slow and said, ‘I don’t see that you are serious If you’ve attained your want and have shifted away from your earlier commitment to tarry in the matter at hand,",ثم أن الجرذ أبطأ على روميّ في قطع الحبائل فقال له ما لي لا أراك مجدًّا في قطع حبائلي فإن كنت قد ظفرت بحاجتك فتغيّرت عمّا كنت عليه في حاجتي,"When the owl and the mongoose saw the rat approach the cat, they gave up on catching him and left. But the rat held some speed from Rūmī while cutting the cords, so Rūmī said: ‘Why do I not see you being diligent at cutting my cords. If you have attained your want and changed from your earlier commitment concerning my need,",فلّما رأى السنّور أنّ الجرذ غير مجتهد في قطع الشرك استبطأه وقال ما أراك جادًّا في قطع رباطي فإن كنت حين ظفرت بحاجتك تغيّرت عمّا كنت عاهدتني عليه وتواخيت فيّ,"“When the cat noticed that the rat was not hard at work cutting the net, he judged him to be slow and said, ‘I don’t see that you are serious in cutting my bond. If, having attained your want, you have changed from your earlier vow and tarried at my need],",فلمّا رأى السنّور الجرذ ليس بجادّ في قطع الشرك قال له يا خليلي ما منعك أن تجتهد في قطع الشرك له والفراغ لعلّ الذي يمنعك من ذلك أنّك قد صرت إلى حاجتك من الأمن,"When the cat noticed that the rat was not diligent about cutting the net, he said, ‘What stops you, dear friend, from assiduously cutting the trap and being through. Is having secured",فلمّا رأى السنّور الجرذ ليس بجادّ في قطع الشرك قال له يا خليلي ما يمنعك من ذلك إنّك قد صرت إلى حاجتك من الأمن,"“When the cat noticed that the rat was not diligent about cutting the net, he said, ‘What stops you, dear friend, is having secured your need for safety;"
43,aedf54df-c554-4747-a6e3-518c9df7d3c7,The Noble Must Help,فليس هذا *للكريم بخلق أن يتوانى في حاجة صاحبه إذا استمكن من حاجة نفسه,well it is not fit for the noble to tarry in fulfilling the need of his companion once he has attained his own need.,فليس هذا للكريم بخلق ولا يجمل به أن يقصّر في حاجة صاحبه إذا قدر عليها,"well that is not a quality of the noble, who should not fail to fulfill the need of his friend, if he is able to do so. You",فإنّ الكريم لا يتوانى في حقّ صاحبه,the noble does not tarry in fulfilling what is due to his companion.,فليس هذا الكريم بخليق أن يتوانى في حاجة صاحبه إذا هو قضى حاجة نفسه,"well it is not fit for a noble, such as yourself], to tarry in fulfilling the need of his companion once he has fulfilled his own need.",*وإن كان ذلك كذلك فليس ذلك من فِعل الصالحين,"your need for safety preventing you from that If that is so, it is not a deed the righteous would do",إن كان ذلك كذلك فليس ذلك من فعل الصالحين,"if that is so, it is not a deed the righteous would do"
44,81c5dffc-1b3e-44ec-93dd-725bf2dedd37,The Cat States the Rat's Duty of Reciprocation,وقد كان لك في مودّتي من عاجل المنفعة والاستنقاذ من الهلكة ما قد رأيت وأنت حقيق أن تكافئني,You found in my amity,وقد كان لك في مودّتي عاجل النفع والاستنقاذ من المهلكة ما قد رأيت وأنت حقيق أن تكافئني بذلك,"found in my amity, swift benefit and deliverance from perishing, as you have seen; and you owe me reward accordingly",وقد كان لك في سابق مودّتي من الفائدة والنفع ما قد رأيت وأنت حقيق أن تكافئني بذلك,"You found in my previous amity gain and benefit, as you have seen: you owe me reward accordingly and",وقد كان لك في عاجل مودّتى من النفع والخلاص من الهلكة ما قد رأيت وأنت حقيق أن تكافئنى بذلك,"You found in my prompt amity benefit and deliverance from perishing, as you have seen; you owe me reward accordingly",,,,
