unit_order,unit_id,unit_title,A4095,P3465,P3475,R2536,CCCP578,P3471
37,8c25de54-4965-4b5f-b454-dcd5f8cd06ec,Jackal Wants to Remain Carefree,قال ابن آوى إذا كان الملك يريد الإحسان بي فيدعني أعيش في هذه البرّيّة آمنًا من أن أُحسد فإنّي قليل الهمّ راضي بمعيشتي من الماء والحشيش,قال ابن آوى إن كان الملك يريد الإحسان إليّ فليدعني في هذه البرّيّة أعيش آمنًا قليل الهمّ أرضى بعيشي من الماء والحشيش,قال ابن آوى إن كان الملك يريد الإحسان فيّ فليتركني أعيش في هذه البرّيّة آمنًا من أن أحسد فإنّي قليل الهمّ راض بمعيشتي من المال الخسيس,*** فليدعني أعيش في هذه البرّيّة قليل الهمّ راض بمعيشتي من الماء والحشيش,به قال له ابن آوى إن كان الملك يريد لي خيرًا فليتركني أعيش في هذه البرّيّة آمنًا مطمئنًّا قليل الهمّ راضيًا بمعيشتي,قال ابن آوى إن كان الملك يريد بي الخير ويتعمّدني بالكرامة والإحسان فليتركني أعيش راضيًا في هذه البرّيّة آمنًا من أن أُحسد قليل الهمّ والنصب راضيًا بمعيشتي من الماء ومن الحشيش
38,7f603305-8b98-4c4b-8a7c-529e29a65819,Kings' Advisors Suffer,وقد علمت أنّ صاحب السلطان يصل إليه في ساعة واحدة من الأذى والخوف ما لا يصل إلى غيره طول دهره,فإنّي قد علمت أنّ صاحب السلطان يصل إليه من الأذى والخوف في ساعة واحدة ما لا يصل إلى غيره في طول عمره,وقد علمت أنّ صاحب السلطان يصل إليه في ساعة واحدة من الأذى والخوف ما لا يصل إلى غيره طول الدهر,فإنّي قد علمت أنّ صاحب السلطان يصل إليه في ساعة واحدة من الأذى والخوف ما لا يصل إلى غيره في طول دهره,لأنّي قد علمت أنّ صاحب السلطان يصل إليه الخير ساعة واحدة ويصل إليه من الأذى والخوف في طول عمره,فإنّي قد علمت أنّ صاحب السلطان يصل إليه في ساعة واحدة من الأذى والخوف ما لا يصل إلى غيره طول دهره
39,2d2b4075-f7ff-467d-bcb6-71ea4360c0d8,Peace over Wealth,وأنّ قليل الغذاء في أمن وطمأنينة خير من كثيره في خوف ونصب,وأنّ قليل العيش في أمن وطمأنينة خير من كثير في خوف ونصب,وأنّ قليل العيش في أمن وطمأنينة خير من كثيره في خوف ونصب,وإنّ قليل المعيشة في أمن وطمأنينة خير من كثيرها في خوف ونصب,فإنّ قليل القوت في أمن *وطمأنينة خير من كثير في خوف ونصب,وإنّ قليل القوت مع العيش في أمن وطمأنينة خير من كثير في خوف ونصب
40,8e6cea03-5b43-4ded-b6a2-8ed2ac7ba032,Lion Reassures Jackal,قال الأسد قد سمعت كلامك فلا تخافنّ شيئًا ممّا أراك *تتخوّفه ولا بدّ من الاستعانة بك,قال الأسد قد سمعت مقالتك فلا تخف شيئًا ممّا أراك تخاف منه ولست أجد بدًّا من الاستعانة بك في أمري,قال الأسد قد سمعت مقالتك فلا تخافنّ شيئًا من ذلك فلا بدّ من الاستعانة بك,قال الأسد قد سمعت مقالتك فلا تخف شيئًا ممّا أراك تتخوّف ولا أرى بدًّا من الاستعانة بك,قال له الأسد قد سمعت مقالتك وفهمت مرادك لا تخاف شيئًا ممّا أراك تذكره فإنّه لا بدّ لي من الاستعانة <بك> على كلّ حال,قال الأسد قد فهمتك وفهمت مقالك وسمعت ما ذكرت فلا تخافنّ شيئًا ممّا أراك تخوفه وتذكره فإنّه لا بدّ من الاستعانة بك
41,5f885503-3177-480d-aac1-c83fb52b80e2,Jackal Gives Conditions for Service,قال ابن آوى إن أراد الملك بي هذا فليجعل لي عهدًا إن بغى عليّ أحدًا عنده ممّن هو فوقي خوفًا على منزلته أو ممّن هو دوني فينازعني منزلتي فذكر عند الملك منهم ذاكر بلسانه أو بلسان غيره ممّا يريد به تحميل الملك عليّ ألّا يعجل عليّ وأن يتثبّت فيما يُرفع إليه ويُذكر له من ذلك ويفحص عنه ثمّ يقضي فيه بما بدا له,قال ابن آوى أمّا {إذ} قد أبى الملك فليجعل لي عهدًا إن بغى عليّ أحد من أصحابه ممّن هو فوقي يخافني على منزلته أو من هو دوني يخافني وينازعني على منزلتي فذكرني عند الملك ذكرًا بلسانه أو على لسان غيره ممّن يريد تحميل الملك عليّ أن لا يعجل في أمري ويتثبّت فيما يُرفع إليه ويُذكر عنده من ذلك ويفحص عنه ثمّ ليصنع ما بدا له,قال ابن آوى أمّا إذا أبى الملك فليجعل لي عهدًا إن بغى عليّ عنده أحد من أصحابه ممّن هو فوقي خوفًا منّي على منزلته أو من هو دوني فينازعني على منزلتي أن يتثبّث فيما رُفع إليه وذُكر له ويفحص عنه ثمّ يقضي فيه بما يريد,قال ابن آوى أمّا إذ أبى الملك فليجعل لي عهدًا إن بغى عليّ أحد من أصحابه ممّن هو فوقي فيخافني على منزلته أو من هو دوني وينازعني منزلتي فذاكر للملك منهم ذاكر بلسانه أو بلسان غيره ممّن يريد تحميل الملك عليّ أن لا يعجل وأن يتثبّت فيما يراجع إليه ويذكر له من ذلك ويفحص عنه ثمّ يصنع في أمري ما بدا له,قال له ابن آوى أمّا إذ أبى الملك إلّا ذلك فليجعل لي عهدًا أنّه لا يقبل عليّ كلام من يغتابني عنده من أصحابه وكلّ من نازعني في مكاني ممّن يريد بذلك مضرّتي لا يقبل الملك منهم ممّا يقولون,قال ابن آوى أمّا إذ أبى الملك إلّا ذلك فليجعل لي عهدًا إن بقي عليّ عنده أحد من أصحابه ممّن هو فوقي فخافني على منزلته أو من هو دوني فنازعني في مكاني ومنزلتي منه فذكر له عن نفسه أو غيره ممّن يريد به تحميل الملك عليّ أن لا يعجل عليّ وأن يُثبت فيما يُرفع إليه ويُذكر له من ذلك ويفحص عنه ثمّ يقضي في ذلك ويصنع ما بدا له
42,cbda7599-922a-443a-a1a3-48f2e83133fc,Jackal Vows Devotion on His Terms,فإذا أنا وثقت من الملك بذلك [من الملك] أعنته بنفسي وعملت له فيما ولَّاني بنصيحة واجتهاد وحرص على أن لا أجعل على نفسي سبيلًا,فإذا وثقت منه بذلك أعنته بنفسي فيما يحبّ,فإنّي إذا وثقت بذلك من الملك أعنته بنفسي وأنا مع ذلك كاره لأنّي أعمل فيما أتولّاه بنصيحة واجتهاد {وحرص على أن لا أجعل} على نفسي سبيلًا,فإذا وثقت بذلك منه أعنته على نفسي وعملت له فيما ولّاني بنصيحة واجتهاد وحرص على أن لا أجعل على نفسي سبيلًا,فإن كنت أيّها الملك لا تقبل في أمري كلام عدوّ ولا حاسد فأنا أقبل ذلك منك وأنا له كارهًا لكنّي أفعل ذلك لرضى الملك ولطاعته,فإنّي إذا وثقت بذلك من الملك أعنته بنفسي وعملت له فيما ولّاني بنصيحة واجتهاد وحرصت على أن لا أجعل له على نفسي سبيلًا
43,ea4b80e4-e1fd-4b66-9067-84c81213e1b6,Lion Commits to Conditions,قال الأسد ذلك لك,قال له لك ذلك وزيادة,قال الأسد فإنّ ذلك لك,قال الملك فإنّ ذلك لك عليّ,فعند ذلك قال له الأسد عليّ ما كان بيني وبينك وأنا موفّيك جميع ما أشرطه على نفسي,قال الأسد فإنّ ذلك لك عليّ
44,4c9a2ad4-8c23-44b9-a6e1-7c4e73fa4faf,Jackal Excels in Position,فولَّاه خزانته واختصَّه دون أصحابه بالرأي والمشورة والمنزلة وازداد به على الأيّام عجبًا فزاده كرامة وعملًا,ثمّ ولّاه خزائنه واختصّ به دون أصحابه وزاد في كرامته,فولّاه خزانته واختصّه دون أصحابه في المشاورة والرأي *والمنزلة وازداد به على الأيّام عجبًا وكرامة,فولّاه خزائنه واختصّه دون أصحابه في المنزلة والمشاورة في الرأي وازداد به على الأيّام عجبًا وزاد كرامة وعملًا,ثمّ ولّاه الأسد عمله ودفع له مفاتيح خزائنه واختصّ له من دون أصحابه في المشورة وفي الرأي فازداد به الأسد على الأيّام إعجابًا وأكرمه كرامة عظيمة وفوّض إليه جميع أموره صغيرها وكبيرها,فولّاه خزائنه واختصّه دون أصحابه في المنزلة والمشاورة والرأي فازداد به على الأنام عجبًا كلّما فحصه وزاده كرامة وفوّض إليه عمله
45,415a7c8c-461d-4265-ae39-9992dcdc6670,Conspiracy against Jackal,,,,,,
46,d2d13e9a-f1dd-4b4a-8e0e-c409cd07868e,Jackal's Status Stirs Jealousy,فثقل ذلك على من كان يطيف بالأسد من قرائبه وأصحابه وعمّاله وعادوه وحسدوه وائتمروا ليحمّلوا عليه الأسد ويهلكوه,فلمّا رأى أصحاب الأسد ذلك غاظهم وساءهم,فثقل ذلك على من يطيف بالأسد من قرابته وأصحابه وعمّاله وعادوه وحسدوه وائتمروا ليحملوا عليه الأسد فيهلكوه,فثقل ذلك على من كان يلوذ بالأسد من قرايبه ووزرائه وأصحابه وعمّاله فعادوه وحسدوه وائتمروا ليحمّلوا عليه الأسد ليهلكوه,قال فلمّا زاد الأسد في إكرام ابن آوى عظم ذلك على كلّ من يطوف بالأسد من ذوي قرابته ووزرائه وأهل دولته فحسدوه على ذلك واتّفقوا عليه ليهلكوه,فثقل ذلك على كلّ من كان *يطيف الأسد ويطوف عليه من قرابته وصحابته وعمّاله فعادوه وحسدوه واتّفقوا ليحمّلوا الأسد عليه فيهلكوه عنده
47,6089aecb-618a-49ef-862a-87650c4d02b4,Schemers Frame Jackal,فلمّا اجتمعوا على ذلك من كيدهم دسّوا ذات يوم للحم كان الأسد استطرفه واستطابه فأمره برفعه في موضع طعامه ليُعاد إليه فسرقوه ثمّ أرسلوا به إلى بيت ابن آوى فخبّئوه في موضع لا يطّلع عليه أحد,فأجمعوا كيدهم وكان الأسد قد أعدّ لحمًا استطابه ثمّ استطرفه فأخذوه من موضعه وحملوه إلى بيت ابن آوى فخبّؤوه فيه ولا علم له به,فلمّا أجمعن على ذلك من كيدهم دسّوا ذات يوم للحم كان الأسد استطرفه واستطابه فأمر بوضعه في موضع طعامه ليُعاد عليه فسرقوه ثمّ أرسلوا به إلى بيت ابن آوى فجنّوه في موضع لا يطّلع عليه أحد,فلمّا أجمعوا على ذلك كيدهم دسّوا يومًا لحمًا كان الأسد قد استطرفه فأمر بوضعه في موضع فسرقوه ثمّ أرسلوا به إلى منزل ابن آوى فخبّئوه فيه مخفيًّا لم يطّلع عليه,ودسّوا له لحمًا كان <الأسد> قد استطابه وكان قد أمره الأسد بالاحتفاظ به فسرقوه *وأنفذوه إلى منزله وخبّؤوه في مكان لا يطّلع عليه أحد,فلمّا اجتمعوا على ذلك من كيدهم دسّوا إلى لحم كان الأسد استظرفه واستطابه وأمره بالاحتفاظ به وكان يرفعه في أحصن موضع طعامه وأحرزها ليُعاد عليه فسرقوه ثمّ أرسلوا به إلى منزل ابن آوى فوضعوه في مكان لا يطّلع هو عليه
48,ac05c1c6-90cd-4f8c-aff8-b5abf366cecd,Scheme Triggers Lion's Rage,فلمّا كان من الغد ودعا الأسد بغدائه فَقَدَ ذلك اللحم والتمسه فلم يجده وابن آوى غائب والقوم الذين أرادوا المكر به حضور فلمّا رأوا الأسد قد احتشد في طلب اللحم وغضب نظر بعضهم إلى بعض,ثمّ حضروا يكذّبوه إن جرّب في ذلك [حال] فسأل عن اللحم وشدّد فيه وفي *المسألة عنه ثمّ نظر بعضهم إلى بعض,فلمّا كان من غد دعا الأسد بغذائه !وقعد ذلك اللحم فالتمسه فلم يجده وابن آوى غائب والقوم اللذين أرادوا المكر به حضور فاحتشد الأسد ولحّ في طلبه حتّى غضب فنظر بعضهم إلى بعض,فلمّا كان من الغد دعا الملك بغدائه فتفقّد ذلك اللحم والتمسه فلم يوجد وغاب ابن آوى وحضر القوم الذين أرادوا أن يكيدوه فلمّا رأوا أنّ الأسد قد اجتهد في طلب اللحم حتّى غضب نظر بعضهم إلى بعض,فلمّا أصبح الأسد دعا بغدائه وفقد اللحم وطلبه فلم يجده وكان ابن آوى قد غاب في بعض أشغاله وحضروا الذين اجتمعوا عليه الأسد فلمّا رأوا الأسد قد غضب وحرد نظر بعضهم إلى بعض,فلمّا كان من الغد ودعا الاسد بغدائه فقدَ ذلك اللحم والتمسه فلم يجده ولم يقدر عليه وغاب ابن آوى وحضر الذين أرادوا به المكر والمكيدة للقذف عليه فاحتشد الأسد في طلب اللحم حتّى غضب فلمّا رأوا ذلك منه نظر بعضهم إلى بعض
49,73837bb4-8b30-42d4-a149-d0b7c079e615,Schemers to Impart Difficult News,فقال أحدهم قول المخبر الناصح إنّه لا بدّ لنا أن نخبر الملك بعلمنا فيما يضرّ به وينفعه وإن شقّ ذلك على من شقّ عليه,فقال أحدهم قول المخبر الناصح إنّه لا بدّ لنا من أن نخبر الملك بما يضرّه وينفعه وإن شقّ ذلك على من يشقّ عليه,فقال أحدهم لا بدّ لنا من أن نخبر الملك عن علمنا فيما يضرّه وينفعه وإن شقّ ذلك على من يشقّ عليه إنّه,فقال أحدهم قول المخبر الناصح إنّه لا بدّ لنا أن نخبر الملك بعلمنا فيما يضرّه وينفعه وإن شقّ ذلك عليه,فقال أحدهم لا بدّ لنا أن نخبر الأسد بذلك وإن شقّ ذلك عليه ونقول له إنّنا,ثمّ قال أحدهم قول المخبر الناصح إنّه لا بدّ لنا من أن نخبر الملك عن علمنا فيما يضرّه وينفعه وإن شقّ ذلك على من شقّ عليه ممّن يكره نشره
50,7d4e556d-cd19-4caf-9656-4d7a8099d922,Schemers Accuse Jackal,إنّه بلغني أنّ ابن آوى كان ذهب باللحم إلى منزله,إنّه بلغني أنّ ابن آوى هو الذي ذهب باللحم إلى منزله,بلغني أنّ ابن آوى ذهب باللحم إلى منزله قال الآخر إنّه كذلك,إنّه قد بلغني أنّ ابن آوى هو الذي ذهب بذلك اللحم إلى منزله,قد بلغنا أنّ ابن آوى قد ذهب بذلك اللحم إلى داره وقد أكله وفضّل به لنفسه عليك,إنّه قد بلغني أنّ ابن آوى ذهب بذلك اللحم إلى منزله فأكله
51,a41d902e-0ff3-46ba-9674-7736c032f48c,Schemers Say Jackal Is Unlikely to Steal,قال آخر أراه شبيهًا أن يكون فعل ذلك ولكن انظروا وافحصوا,قال الآخر لا أراه يفعل ذلك [هذا] ولكن انظروا وافحصوا,,ثمّ قال الآخر ما أراه أن يكون يفعل هذا ولكن انظروا وافحصوا,وقال آخر ما أظنّه يفعل ذلك افحصوا ذلك,قال آخر ما أرى أن يكون هذا شبيهًا ولكن انظروا وافحصوا عن ذلك
52,1a82d8e8-7d35-48ed-9389-c72207185723,Schemers Demand Harshest Punishment,,,,,,
53,fae33004-0565-41c0-b4bc-57b54bdc971d,Character Is Difficult to Know,فإن معرفة الخلائق شديدة,فإنّ معرفة الخلائق شديدة,,فإنّ معرفة الخلائق شديدة,فإنّ معرفة الحقّ شديدة,فإنّ معرفة الخلائق شديدة
54,6e4ed63d-d115-44f8-87ec-02b49c5fe78f,Schemers Suggest Searching Jackal's House,قال آخر أجل لعمري ما تكاد السرائر يُطّلع عليها ولكن إن فحصتم فوجدتم ذلك في منزل ابن آوى فكلّ شيء كان يُذكر لنا من عيوبه وخيانته حقّ وحقيق أن نحذره ونصدّق كلّ ما كان قيل لنا فيه,فقال الآخر لعمري ما تكاد الشدائد تُعرف وأظنّكم إن فحصتم عن هذا وجدتم اللحم ببيت ابن آوى فكلّ شيء يُذكر من عيوبه وخيانته نحن أحقّ أن نصدّقه,,قال الآخر لعمري ما تكاد السرائر تُعرف ولكنّكم إن فحصتم عن هذا فوجدتم ذلك بكلّ شيء يُذكر لنا من عيوبه وخيانته حقّ ثمّ نحن أحقّاء أن نصدّق به,وقال غيره إن كشفتم عن هذا الأمر ووجدتم اللحم في منزل ابن آوى فكلّ ما كان يُذكر لنا من عيوبه حقّ ونصدّق بكلّ ما كان يُقال عنه,فقال آخر أجَلْ لعمري !بإنكاد السرائر يُطّلع عليها ولكنّكم إن كشفتم عن هذا الأمر وفحصتم *فوجدتم ذلك اللحم في منزل ابن آوى كان ذلك دليلًا على غيرته وكلّ شيء يُذكر لنا من عيوبه وخياناته حقّ ونحن حذرًا أن نحذره ونصدّق بكلّ شيء يُقال عنه وفيه
55,d300debb-7ffb-4d0d-8958-b7f9c92f9355,Schemers Say Trickery Is always Exposed,فقال آخر كيف يسلم من حبائل السلطان وكيف يخفى ذلك له ومخاتلة الأصحاب لا تكاد تخفى,,وقال الآخر كذلك من خاتل السلطان,قال آخر ما ينبغي لأحد أن يغترّ بما يعلم من نفسه فإنّ المخاتلة لا يسلم صاحبها ولا *مخاتلته قال آخر وكيف يسلم من خاتل السلطان وكيف ذلك ومخاتلة الأصحاب لا تكاد تخفى,,قال آخر وكيف يسلم من خاتل السلطان أو كيف يخفى ذلك عليه [وله] *ومحتال الأصحاب لا يخفى
56,8a087061-ffb3-4d3f-a7cd-844a2a9d65c3,Schemers Claim that Suspicions Are Confirmed,قال آخر لقد أخبرني مخبر عن ابن آوى بأمر عظيم فما وقع في نفسي حتّى سمعت كلامكم قال آخر لم يخفى عليّ أمره وخبثه أوّل ما رأيته وقد قلت *مرارًا واستشهدت فلانًا أنّ هذا المخادع المتخشّع يوشك أن يُفتّش عن خيانة فاحشة وذنب عظيم,,وقال آخر أخبرني المخبر الصادق عن ابن آوى بأمر عظيم,قال آخر إن كان ابن آوى فعل هذا اجترأ على عظيم قال آخر لعمري ما كان يخفى عليّ خبثه وأمره أوّل ما رأيته ولقد قلت مرارًا واستشهدت فلانًا أنّ هذا المخادع المتنسّك ليس يعيش إلّا عن خيانة وفاحشة وذنب عظيم,وقال غيره أخبرني مخبر عن ابن آوى بأمر عظيم فما وقع ذلك في مسامعي إلّا في يومي هذا وقال غيره قد قلت لكم مرارًا إنّ هذا المخدوع ما سلم من الخيانة ولا من الفواحش ولا من الذنوب,قال آخر إن كان ابن آوى فعل ذلك لقد اجترأ على أمر عظيم قال آخر لقد أخبرني مخبر عن ابن آوى بأمر عظيم ما وقع في نفسي حتّى سمعت كلامكم فيه قال آخر لكنّي لم يخف عليّ أمره وخِبّه أوّل ما رأيته وقد قلت مرارًا ذلك وأشهدت فلانًا أنّ هذا هو المخادع المتخشّع المتنسّك ولن يفتشي إلّا عن خيانة فاحشة وذنب
57,4487a52f-8c80-4282-85dd-cdc746bfd290,Schemers Find False Piety Damning,قال آخر *لئن كان هذا *المتألّه المتخشّع الذي يرينا أن عمِل عمَل النسّاك خان هذه الخيانة إنّ ذلك لمن أعجب العجيب,,,قال آخر لئن كان هذا المتألّه المتخشّع الذي يرينا عمله صنع هذا إنّ هذا من العجب,,عظيم قال آخر لئن كان هذا المتألّه المتخشّع الذي يرينا أنّ عمله الذي يلي بلاء عليه ومصيبته له *خان هذه الخيانة إنّ ذلك لمن أعجب العجب
58,4d781da5-dd16-4a13-9679-eb5305343061,Schemers Say Jackal Is an Ungrateful Traitor,قال آخر لئن وُجد هذا الأمر حقًّا فإنّها ليست خيانة فقط بل مع الخيانة كفر النعمة والجرأة على الذنوب,قال الآخر *لئن وجدنا هذا حقًّا ما هي بالخيانة ولكن مع الخيانة كفر النعمة والجرأة على الملك,وقال آخر إنّ هذه خيانة عظيمة,قال آخر لئن وجدنا هذا حقًّا فما هذا بالخيانة فقط ولكن مع الخيانة كفر النعمة والجرأة على الذنوب,,قال آخر لئن وُجد هذا حقًّا ما هي بالخيانة فقط بل مع الخيانة كفر النعمة والجرأة على الذنوب
59,a7bd9e24-c927-4933-a45c-35dd99602fa5,Schemer Feigns Objectivity,قال آخر أنتم أهل العدل والفضل ولا أستطيع أن أكذّبكم ولكن يستبين صدق هذا من كذبه,قال الآخر أنتم أهل العدل والفضل لا أستطيع أن أكذّبكم,,قال آخر أنتم أهل العدل والفضل فلا أستطيع أن أكذّبكم ولكن *سيستبين صدق هذا وكذبه,وقال غيره الحقّ أقول لكم ما يتبيّن لي أحقّ هذا أو باطل,قال آخر أنتم أهل العدل والفضل والصدق فلن أستطيع أكذّبكم ولكن نستبين صدق هذا وحقّه من باطله
60,f4b632c4-483b-4cf8-8fb7-90b22725b9ce,Schemers Urge Quick Investigation,ولو قد أرسل الملك إلى بيت ابن آوى فتّشه قال آخر إن كان منزله مفتّشًا فالعجل فإنّ عيونه وجواسيسه مبثوثة بكلّ مكان,ولكن سيبين هذا لو أرسل الملك إلى بيته من يفتّشه,وقال آخر إن كان منزله يفتّش فالعجلة ليطّلع الملك على أمره وخيانته وخبثه,لو قد أرسل الملك إلى بيته فيفتّش قال آخر إن كان منزله غير مفتّش فليعجل بذلك فإنّ عيونه وجواسيسه بكلّ مكان,حتّى نرسل إلى ابن آوى قبل علم الأسد به ونفتّش بيته فحينئذ نتبيّن حيلته وخيانته,أو قد أرسل الملك إلى بيت ابن آوى وفتّشه قال آخر إن كان منزل ابن آوى ولا بدّ مفتّشًا فالعجل بذلك فإنّ عيونه وحواسّه مبثوثة بكلّ مكان
61,3f2654c5-d616-405d-bc12-a0bf74ff32e1,Schemers Say Jackal Will Manipulate Lion,قال آخر قد علمت أنّ ابن آوى لو فُتّش منزله واطُّلع على عيوبه وخيانته سيحتال بمكره حتّى يشبه على الملك فيعذره,,,قال آخر إنّي قد عرفت أنّ ابن آوى لو فُتّش منزله واطُّلع على خيانته لاحتال بمكره وخبثه حتّى يُشبّه على الملك فيعذره,,قال آخر إنّي قد علمت أنّ ابن آوى لو قد فُتّش منزله فاطُّلع على خيانته لاختال بخبّه ومكره حتّى تشبّه على الملك فيعذره ويكذّب بذلك ويكفّ عنه
62,8556332f-2eca-454a-8b48-542a92f7ef52,Schemers Incite Lion's Suspicion,فلم يزالوا بهذا الكلام وأشباهه حتّى وقع ذلك في نفس الأسد وحقّق الاتّهام لابن آوى,ولم يزالوا بهذا الكلام وأشباهه حتّى وقع في نفس الأسد ذلك,فلم يزالوا بهذا الكلام وشبهه حتّى أوقع ذلك في نفس الأسد الاتّهام,فلم يزالوا بذلك الكلام ونحوه حتّى وقع في نفس الملك,قال فلم يزالوا بهذا الكلام وأشباهه حتّى وقع في نفس الأسد اتّهام ابن آوى,فلم يزالوا بهذا الكلام وأشباهه حتّى وقع ذلك في نفس الملك الذي هو الأسد واتّهامه لابن آوى
63,cae1aadf-b8bb-4f0d-8125-4e0f6128705c,Lion Asks Jackal about Meat,فدعا به فقال ما صنعت باللحم الذي أمرتك بالاحتفاظ ?به قال دفعته إلى فلان صاحب الطعام,فأمر بابن آوى فحضر فقال له أين اللحم الذي أمرتك بالاحتفاظ به قال دفعته إلى صاحب الطعام ليقرّبه إلى الملك,فدعا بابن آوى فقال له ما صنعت باللحم الذي أمرتك بحفظه <قال> دفعته إلى فلان صاحب الطعام ليقرّبه إلى الملك,فأمر بابن آوى فدُعي به فقال له ما صنعت باللحم الذي أمرتك بالاحتفاظ به قال دفعته إلى فلان صاحب الطعام ليقدّمه,فدعا به الأسد فأتى إليه وهو لا يعلم بشيء من ذلك لأنّه ما عنده من ذلك خبر ولا علم فعند ذلك قال له الأسد ما صنعت باللحم الذي قد كنت أوصيتك به قال له ابن آوى دفعته إلى صاحب الطعام,وأمر فدعا ابن آوى فقال ما صنعت باللحم الذي أمرتك بالاحتفاظ به قال دفعته إلى صاحب الطعام ليقرّبه إلى الملك عند غذائه
64,7527c332-4171-45b1-9636-ca2b71922633,Lion Asks Steward about Meat,وكان ممّن تابع القوم فسأله الملك عن اللحم فقال ما دفع إليّ شيئًا,فدعا بصاحب الطعام وكان ممّن شايع وبايع مع القوم فقال ما دفع إليّ شيئًا,فدعا الملك بصاحب الطعام وسأله فأنكر خوفًا,وقد كان ممّن شاتع القوم فقال ما دفع إليّ شيئًا,وكان ممّن اتّفق معهم عليه فسأله الأسد فقال ما دفع لي شيئًا,فدعا صاحب الطعام وكان ممّن شايع القوم وساعدهم على أمرهم فسأله عن اللحم فقال ما أعطاني شيئًا
65,4ef3eac6-0132-4208-b6d0-815847897f0a,Meat Is Found in Jackal's House,فوجّه الأسد أمناءه إلى بيت ابن آوى فوُجد اللحم في بيته فأتوا به الأسد,فأرسل الأسد أمينًا إلى بيت ابن آوى ليفتّشه فوجد فيه ذلك اللحم فأتى به الأسد,فبعث الأسد إلى بيت ابن آوى من بعثه فوجدوا اللحم,فبعث الأسد أمناءه ليفتّشوا بيت ابن آوى فوجدوا ذلك اللحم فيه فأتوا به الأسد,فعند ذلك بعث الأسد إلى منزل ابن آوى على غفلة لعلّه أن يجد اللحم عنده وكان ابن آوى آمنًا على نفسه من ذلك السبب وما كان يتكلّم في شيء من ذلك وكان عند الأسد من العدول فشهدوا بأنّ اللحم قد وجدوه عند ابن آوى,فبعث الأسد أمناءه ليفتّشوا منزل ابن آوى فلمّا وصلوا إلى المنزل شمّوا فيه رائحة اللحم لأنّها لا يخفى عليها ريح أبدًا والكلاب كذلك فدخلوا البيت فوجدوا اللحم فيه فأتوا به الأسد
66,c595cd55-b40f-422a-bd61-2e7c8fdbbe29,Wolf Steps In,فدنا إلى الأسد ذئب لم يكن ليتكلّم بشيء من تلك الأمور وكان يظهر أنّه من أهل العدل الذين لا يتكلّمون إلّا فيما صحّ عندهم واستبان لهم أنّه حقّ,فدنا من الأسد ذئب لم يكن تكلّم في شيء من ذلك وكان يظهر أنّه من العدول الذين لا يتكلّمون في شيء من ذلك حتّى يستبين له,,فدنا من الأسد ذئب وكان لم يتكلّم في شيء من ذلك ولا كان شائع فيه وكان يُظهر أنّه من العدول الذين لا يتكلّموا إلّا فيما استبان لهم,,فدنا من الأسد ذئب لم يكن تكلّم في شيء من تلك الأمور وكان يُظهر أنّه من العدول الذين لا ينطقون إلّا فيما استبان لهم أنّه الحقّ
67,ece57f3b-515b-4803-bd63-9d7ff678a672,Jackal Pleads Innocence,,,فحلف ابن آوى بالأيمان المغلّظة أنّه ما خبّأه ولا يعلم من تركه خوفًا,,,
68,2eac0523-c163-4048-b73e-a8c4c3387f74,Lion Must Punish Jackal,فقال أمّا إذا اطّلع الملك على خيانة ابن آوى فلا يعفو عنه فإنّه إن عفا عنه لم يعد أحد يطلع الملك على خيانة خائن ولا ذنب مذنب,فقال بعد أن اطّلع الملك على خيانة ابن آوى فلا يعفو عنه فإنّه إن عفا عنه لم يطّلع الملك بعدها على خيانة خائن ولا ذنب مذنب,,قال للأسد أمّا إذا اطّلع الملك من ابن آوى على مثل هذه الخيانة فلا يعفو عنه فإنّه إن عفا عنه لم يعد أحد أن يطلع الملك على خيانة خائن وذنب مذنب,فقال بعض العدول أيّها الملك قد اطّلعت على خيانة ابن آوى فلا ينبغي للملك أن يعفو عنه فإن لم يفعل الملك من أمره شيئًا لم يطلعه أحد على جناية لجاني ولا ذنب مذنب,فقال للأسد أمّا إذا اطّلع الملك على خيانة ابن آوى هذا الخبيث فلا يعفونّ عنه فإنّه إن لم يعاقبه لم ينته المسيء عن إساءته ولم يرغب المحسن في إحسان ولم يظهر الملك على خيانة خائن ولا ذنب مذنب
69,9216c715-ec6f-430e-af97-7db9e8eb9df0,Lion Has Jackal Arrested,فأمر الأسد بابن آوى أن يُخرج من عنده ويُحتفظ به,فأمر الأسد بابن آوى أن يُخرج ويُحتفظ به,,فأمر الأسد بابن آوى أن يُخرج من عنده ويُحتفظ به,قال فعند ذلك أمر الأسد بابن آوى أن يُخرج من عنده وأن يُتحفّظ به,فأمر الأسد بابن آوى أن يُخرج من عنده ويُحتفظ به
